Date,Open,High,Low,Close,Adj Close,Volume
2014-09-08,45.904999,45.965,44.91,45.334998999999996,43.635719,937800
2014-09-09,45.195,45.360001000000004,44.875,45.145,43.452843,736400
2014-09-10,45.255001,45.455002,44.950001,45.285,43.587596999999995,382600
2014-09-11,45.195,45.525002,44.84,45.514998999999996,43.808975,613600
2014-09-12,45.369999,45.57,44.884997999999996,45.0,43.313278000000004,594600
2014-09-15,45.215,45.799999,45.185001,45.535,43.828228,737600
2014-09-16,45.755001,46.474998,45.720001,46.255001,44.521236,819400
2014-09-17,46.349998,46.349998,45.775002,45.915001000000004,44.193977000000004,463400
2014-09-18,45.945,46.445,45.939999,46.375,44.636745,574800
2014-09-19,46.525002,46.744999,46.25,46.535,44.790745,1788600
2014-09-22,46.5,46.744999,46.290001000000004,46.360001000000004,44.622303,394200
2014-09-23,46.165001000000004,46.43,45.544998,45.549999,43.842663,447200
2014-09-24,45.43,46.084998999999996,45.395,46.044998,44.319107,530000
2014-09-25,45.805,45.955002,45.029999,45.09,43.399902000000004,585400
2014-09-26,44.970001,45.365002000000004,44.610001000000004,45.035,43.34697,550200
2014-09-29,44.445,45.23,44.445,45.084998999999996,43.395092,544600
2014-09-30,45.064999,45.424999,44.965,45.110001000000004,43.419154999999996,835600
2014-10-01,45.115002000000004,45.174999,44.099998,44.310001,42.649139,833000
2014-10-02,44.105,44.200001,43.715,43.919998,42.273758,768200
2014-10-03,43.959998999999996,44.700001,43.959998999999996,44.639998999999996,42.966774,2193000
2014-10-06,44.650002,44.880001,44.060001,44.349998,42.687641,495800
2014-10-07,44.105,44.465,43.830002,43.834998999999996,42.191948,742600
2014-10-08,43.785,44.599998,43.645,44.57,42.899395,718800
2014-10-09,44.59,44.889998999999996,44.195,44.23,42.572144,977200
2014-10-10,44.395,44.66,43.369999,43.369999,41.744366,1111400
2014-10-13,43.305,43.325001,42.48,42.509997999999996,40.916607,1202400
2014-10-14,42.744999,43.025002,42.189999,42.325001,40.738548,978400
2014-10-15,42.084998999999996,42.349998,40.945,41.805,40.238037,1398400
2014-10-16,44.07,44.07,41.095001,41.919998,40.348724,1001200
2014-10-17,42.0,43.099998,41.865002000000004,42.860001000000004,41.253494,1443000
2014-10-20,43.5,43.665001000000004,43.18,43.490002000000004,41.859879,727600
2014-10-21,43.490002000000004,44.049999,43.404999,44.040001000000004,42.389263,876400
2014-10-22,44.189999,44.509997999999996,43.855,44.215,42.557701,930800
2014-10-23,44.764998999999996,44.764998999999996,43.939999,44.02,42.370018,882200
2014-10-24,44.0,44.529999,43.764998999999996,44.5,42.832015999999996,561800
2014-10-27,44.424999,44.880001,44.355,44.755001,43.077461,664400
2014-10-28,44.965,45.474998,44.794998,45.474998,43.770472999999996,876600
2014-10-29,45.334998999999996,45.700001,44.855,45.235001000000004,43.539474,739800
2014-10-30,45.035,45.630001,44.955002,45.439999,43.736785999999995,591600
2014-10-31,46.0,46.334998999999996,45.605,46.334998999999996,44.598236,1166400
2014-11-03,46.23,46.57,46.200001,46.369999,44.631927000000005,798800
2014-11-04,46.365002000000004,46.685001,46.169998,46.310001,44.574172999999995,587800
2014-11-05,46.560001,46.740002000000004,46.25,46.470001,44.72818,644800
2014-11-06,46.615002000000004,46.715,46.209998999999996,46.654999,44.906239,667800
2014-11-07,46.439999,46.794998,46.240002000000004,46.794998,45.040993,480600
2014-11-10,46.665001000000004,47.084998999999996,46.564999,47.044998,45.281628000000005,475200
2014-11-11,46.994999,47.314999,46.779999,47.075001,45.310505,492400
2014-11-12,46.77,47.134997999999996,46.665001000000004,46.970001,45.209441999999996,436400
2014-11-13,47.244999,47.375,46.830002,47.119999,45.353821,557000
2014-11-14,47.060001,47.119999,46.419998,46.669998,44.920681,402400
2014-11-17,46.665001000000004,47.044998,46.490002000000004,47.02,45.257568,469800
2014-11-18,47.02,47.209998999999996,46.724998,47.040001000000004,45.276806,587400
2014-11-19,46.955002,47.130001,46.654999,47.044998,45.281628000000005,656200
